Year,Corp. ID,Corp Name,Sch. ID,School Name,"Took SAT
N","Graduates
N", Graduates Taking SAT,Avg  Composite (Math and Verbal),"Avg SAT
Math Score",Avg SAT Reading Score
2017-18,2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois High School,50,73,68.49,1094.2,567.4,526.8
2017-18,2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,59,92,64.13,1126.6,569.3,557.3
2017-18,2110,Southwest Dubois Co Sch Corp,1588,Southridge High School,65,115,56.52,1084.8,548.9,535.8
2017-18,2120,Greater Jasper Consolidated Schs,1593,Jasper High School,175,242,72.31,1131.7,568.4,563.3
2017-18,2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,87,129,67.44,1130.6,575.7,554.8
2017-18,2260,Baugo Community Schools,1701,Jimtown High School,65,114,57.02,1054.0,520.9,533.1
2017-18,2270,Concord Community Schools,1715,Concord Community High School,245,340,72.06,1040.0,507.5,532.4
2017-18,2275,Middlebury Community Schools,1733,Northridge High School,209,320,65.31,1104.5,558.3,546.2
2017-18,2285,Wa-Nee Community Schools,1737,North Wood High School,142,200,71.00,1130.6,567.5,563.1
2017-18,2305,Elkhart Community Schools,1749,Elkhart Central High School,145,362,40.06,1056.6,529.2,527.3
2017-18,2305,Elkhart Community Schools,1750,Elkhart Memorial High School,207,410,50.49,1022.2,510.2,512.0
2017-18,2315,Goshen Community Schools,1821,Goshen High School,214,382,56.02,1054.1,527.1,526.9
2017-18,2395,Fayette County School Corporation,1889,Connersville Sr High School,117,205,57.07,1062.6,520.5,542.1
2017-18,2400,New Albany-Floyd Co Con Sch,1925,New Albany Senior High School,174,406,42.86,1053.8,523.0,530.7
2017-18,2400,New Albany-Floyd Co Con Sch,1930,Floyd Central High School,227,407,55.77,1145.3,571.1,574.2
2017-18,2435,Attica Consolidated School Corp,2053,Attica High School,26,39,66.67,967.7,471.5,496.2
2017-18,2440,Covington Community School Corp,2005,Covington Community High School,46,71,64.79,1095.4,540.0,555.4
2017-18,2455,Southeast Fountain School Corp,2022,Fountain Central High School,53,83,63.86,1064.3,532.3,532.1
2017-18,2475,Franklin County Community Sch Corp,2083,Franklin County High,113,194,58.25,1062.9,526.5,536.4
2017-18,2645,Rochester Community School Corp,2173,Rochester Community High School,89,134,66.42,1032.4,509.7,522.7
2017-18,2650,Caston School Corporation,2159,Caston Jr-Sr High School,30,54,55.56,1018.3,495.7,522.7
2017-18,2725,East Gibson School Corporation,2233,Waldo J Wood Memorial High,25,49,51.02,1126.8,562.0,564.8
2017-18,2735,North Gibson School Corporation,2249,Princeton Community High School,68,125,54.40,1065.1,535.4,529.7
2017-18,2765,South Gibson School Corporation,2211,Gibson Southern High School,98,140,70.00,1101.8,548.6,553.3
2017-18,2815,Eastbrook Community Sch Corp,2293,Eastbrook High School,72,121,59.50,1077.1,547.1,530.0
2017-18,2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,66,93,70.97,1014.8,504.7,510.2
2017-18,2855,Mississinewa Community School Corp,2333,Mississinewa High School,102,184,55.43,1045.7,524.4,521.3
2017-18,2865,Marion Community Schools,2351,Marion High School,114,235,48.51,997.9,494.3,503.6
2017-18,2920,Bloomfield School District,2419,Bloomfield Jr-Sr High School,39,40,97.50,1003.6,493.8,509.7
2017-18,2940,Eastern Greene Schools,2435,Eastern Greene High School,41,79,51.90,1119.3,563.4,555.9
2017-18,2950,Linton-Stockton School Corporation,2437,Linton-Stockton High School,51,87,58.62,1058.8,525.5,533.3
2017-18,2960,M S D Shakamak Schools,2445,Shakamak Jr-Sr High School,17,41,41.46,1023.5,524.7,498.8
2017-18,2980,White River Valley School District,2429,White River Valley High School,35,64,54.69,1030.3,502.3,528.0
2017-18,3005,Hamilton Southeastern Schools,2487,Fishers High School,674,809,83.31,1172.9,592.1,580.8
2017-18,3005,Hamilton Southeastern Schools,2499,Hamilton Southeastern HS,633,748,84.63,1178.1,595.6,582.5
2017-18,3025,Hamilton Heights School Corp,2477,Hamilton Heights High School,94,161,58.39,1123.6,559.8,563.8
2017-18,3030,Westfield-Washington Schools,2493,Westfield High School,406,530,76.60,1186.3,587.2,599.1
2017-18,3055,Sheridan Community Schools,2463,Sheridan High School,51,79,64.56,1056.5,525.7,530.8
2017-18,3060,Carmel Clay Schools,2505,Carmel High School,936,1114,84.02,1234.7,624.9,609.9
2017-18,3070,Noblesville Schools,2517,Noblesville High School,483,657,73.52,1137.8,568.5,569.3
2017-18,3115,Southern Hancock Co Com Sch Corp,2565,New Palestine High School,184,265,69.43,1098.8,542.5,556.3
2017-18,3125,Greenfield-Central Com Schools,2595,Greenfield-Central High School,203,341,59.53,1078.7,532.4,546.3
2017-18,3135,Mt Vernon Community School Corp,2569,Mt Vernon High School,211,297,71.04,1082.3,533.1,549.1
2017-18,3145,Eastern Hancock Co Com Sch Corp,2585,Eastern Hancock High School,78,106,73.58,1064.0,532.7,531.3
2017-18,3160,Lanesville Community School Corp,2613,Lanesville Jr-Sr HS,32,61,52.46,1061.9,506.6,555.3
2017-18,3180,North Harrison Com School Corp,2629,North Harrison High School,104,171,60.82,1074.9,526.6,548.3
2017-18,3190,South Harrison Com Schools,2640,Corydon Central High School,91,165,55.15,1097.7,539.8,557.9
2017-18,3190,South Harrison Com Schools,2670,South Central Jr & Sr High School,26,46,56.52,1059.6,515.0,544.6
2017-18,3295,North West Hendricks Schools,2731,Tri-West Senior High School,110,153,71.90,1106.7,548.9,557.8
2017-18,3305,Brownsburg Community School Corp,2709,Brownsburg High School,425,587,72.40,1111.6,559.8,551.8
2017-18,3315,Avon Community School Corp,2737,Avon High School,488,691,70.62,1127.5,560.9,566.5
2017-18,3325,Danville Community School Corp,2741,Danville Community High School,118,162,72.84,1094.9,542.1,552.8
2017-18,3330,Plainfield Community School Corp,2749,Plainfield High School,247,367,67.30,1117.9,554.0,563.8
2017-18,3335,Mill Creek Community Sch Corp,2692,Cascade Senior High School,87,115,75.65,1112.1,553.6,558.5
2017-18,3405,Blue River Valley Schools,2801,Blue River Valley Jr-Sr High Sch,20,43,46.51,1053.5,518.0,535.5
2017-18,3415,South Henry School Corp,2773,Tri Junior-Senior High School,44,69,63.77,1025.5,509.3,516.1
2017-18,3435,Shenandoah School Corporation,2817,Shenandoah High School,53,84,63.10,1034.9,514.3,520.6
2017-18,3445,New Castle Community School Corp,2825,New Castle High School,123,206,59.71,1096.3,542.0,554.3
2017-18,3455,C A Beard Memorial School Corp,2869,Knightstown High School,47,88,53.41,1033.0,513.0,520.0
2017-18,3460,Taylor Community School Corp,2894,Taylor High School,64,98,65.31,1061.3,524.5,536.7
2017-18,3470,Northwestern School Corp,2897,Northwestern Senior High School,92,119,77.31,1121.8,564.6,557.3
2017-18,3480,Eastern Howard School Corporation,2919,Eastern High School,74,100,74.00,1077.4,527.7,549.7
2017-18,3490,Western School Corporation,2921,Western High School,157,185,84.86,1097.9,550.4,547.5
2017-18,3500,Kokomo School Corporation,3013,Kokomo High School,185,360,51.39,1047.6,523.6,524.0
2017-18,3625,Huntington Co Com Sch Corp,3065,Huntington North High School,209,334,62.57,1118.4,555.7,562.7
2017-18,3640,Medora Community School Corp,3093,Medora Jr & Sr High School,9,22,40.91,940.0,450.0,490.0
2017-18,3675,Seymour Community Schools,3133,Seymour Senior High School,150,307,48.86,1042.3,519.6,522.7
2017-18,3695,Brownstown Cnt Com Sch Corp,3126,Brownstown Central High School,78,126,61.90,1096.3,555.9,540.4
2017-18,3710,Crothersville Community Schools,3121,Crothersville Jr-Sr High School,22,24,91.67,906.4,444.5,461.8
2017-18,3785,Kankakee Valley School Corp,3181,Kankakee Valley High School,144,247,58.30,1117.4,562.4,555.0
2017-18,3815,Rensselaer Central School Corp,3201,Rensselaer Central High School,78,118,66.10,1054.1,522.8,531.3
2017-18,3945,Jay School Corporation,3239,Jay County High School,116,239,48.54,1051.7,523.6,528.1
2017-18,3995,Madison Consolidated Schools,3309,Madison Consolidated High School,113,204,55.39,1096.9,538.1,558.8
2017-18,4000,Southwestern-Jefferson Co Con,3337,Southwestern High School,48,79,60.76,1058.3,525.2,533.1
2017-18,4015,Jennings County School Corporation,3345,Jennings County High School,138,257,53.70,1058.2,528.6,529.6
2017-18,4145,Clark-Pleasant Community Sch Corp,3421,Whiteland Community High School,274,413,66.34,1092.0,544.9,547.1
2017-18,4205,Center Grove Community School Corp,3437,Center Grove High School,439,582,75.43,1152.3,575.4,576.9
2017-18,4215,Edinburgh Community School Corp,3447,Edinburgh Community High School,30,56,53.57,1015.3,497.7,517.7
2017-18,4225,Franklin Community School Corp,3445,Franklin Community High School,172,312,55.13,1100.6,552.2,548.4
